X;time;peak;backend
[2, 128, 2, 1];0.0018198697071056813;0.27437233710320164;jir
[2, 128, 2, 4];0.001805538428016007;0.27655013984420057;jir
[2, 128, 4, 1];0.0017647702479735017;0.2829387594987391;jir
[2, 128, 4, 4];0.001820002420572564;0.2743523300396603;jir
[2, 128, 8, 1];0.0017714175337459892;0.2818770251788106;jir
[2, 128, 8, 4];0.0018198648176621646;0.2743730742612761;jir
[2, 128, 16, 1];0.0017977966635953635;0.2777410342743238;jir
[2, 128, 16, 4];0.0018225205421913415;0.2739732657068083;jir
[2, 128, 32, 1];0.0019746150937862694;0.2528704993358827;jir
[2, 128, 32, 4];0.0018135076097678393;0.27533488256265254;jir
[2, 128, 64, 1];0.002155405964003876;0.23166025941320392;jir
[2, 128, 64, 4];0.0018536893476266414;0.2693665502265567;jir
[2, 256, 1, 1];0.0037486228975467384;0.13320142313826305;jir
[2, 256, 1, 4];0.0037482588086277246;0.1332143617224531;jir
[2, 256, 2, 1];0.0020394882594700903;0.24482705523965165;jir
[2, 256, 2, 4];0.0024072306987363845;0.20742586284896222;jir
[2, 256, 4, 1];0.002105519932229072;0.23714898022042596;jir
[2, 256, 4, 4];0.002856222097761929;0.1748190048502048;jir
[2, 256, 8, 1];0.0019368345674593002;0.25780307371161026;jir
[2, 256, 8, 4];0.0030175207648426294;0.1654742232694944;jir
[2, 256, 16, 1];0.0018520252488087863;0.26960858394509807;jir
[2, 256, 16, 4];0.0028824934852309525;0.17322568370762437;jir
[2, 256, 32, 1];0.002051664749160409;0.24337402344424908;jir
[2, 256, 32, 4];0.0027020910347346216;0.184790926117315;jir
[4, 16, 1, 1];0.003709711425472051;0.13459858395814908;jir
[4, 16, 1, 4];0.0037095933221280575;0.13460286921032685;jir
[4, 16, 2, 1];0.0036054571392014623;0.13849059508512;jir
[4, 16, 2, 4];0.003731661126948893;0.13380687253618975;jir
[4, 16, 4, 1];0.00402268412290141;0.12412655070758148;jir
[4, 16, 4, 4];0.0037295189686119556;0.13388372842831828;jir
[4, 16, 8, 1];0.004101209226064384;0.12174992233718973;jir
[4, 16, 8, 4];0.0037305354489944875;0.13384724836122114;jir
[4, 16, 16, 1];0.00400892342440784;0.12455261722432623;jir
[4, 16, 16, 4];0.0037327567115426064;0.1337675994842841;jir
[4, 16, 32, 1];0.004031830874737352;0.12384495289486377;jir
[4, 16, 32, 4];0.0037388174096122384;0.13355075952042564;jir
[4, 16, 64, 1];0.00438292050966993;0.11392447197257242;jir
[4, 16, 64, 4];0.0037390918005257845;0.133540958981454;jir
[4, 16, 128, 1];0.0044692764058709145;0.11172320962426655;jir
[4, 16, 128, 4];0.003757347585633397;0.13289212493172395;jir
[4, 16, 256, 1];0.004581682151183486;0.10898222274823796;jir
[4, 16, 256, 4];0.0037709177704527974;0.132413893687729;jir
[4, 32, 1, 1];0.002437856834148988;0.20482002788986953;jir
[4, 32, 1, 4];0.0024377511581405997;0.2048289067957058;jir
[4, 32, 2, 1];0.002410751854768023;0.20712289561214609;jir
[4, 32, 2, 4];0.0024661860370542854;0.20246724993963372;jir
[4, 32, 4, 1];0.002526884665712714;0.19760375751897238;jir
[4, 32, 4, 4];0.0024698984052520245;0.20216293257250587;jir
[4, 32, 8, 1];0.0025063558132387698;0.19922227407794493;jir
[4, 32, 8, 4];0.0024683614319656044;0.2022888132570946;jir
[4, 32, 16, 1];0.0025792948435992002;0.19358853292830255;jir
[4, 32, 16, 4];0.002470820560120046;0.2020874817140282;jir
[4, 32, 32, 1];0.002655728632817045;0.18801691505364865;jir
[4, 32, 32, 4];0.0024763144610915333;0.20163913453132642;jir
[4, 32, 64, 1];0.002811103855492547;0.17762485145694348;jir
[4, 32, 64, 4];0.0024866774620022625;0.20079882187851286;jir
[4, 32, 128, 1];0.002808387973345816;0.17779662550222003;jir
[4, 32, 128, 4];0.002518276800401509;0.19827919817324843;jir
[4, 64, 1, 1];0.0019698577816598117;0.253481195145557;jir
[4, 64, 1, 4];0.0019687928433995694;0.2536183054687012;jir
[4, 64, 2, 1];0.001994023157749325;0.2504092807655728;jir
[4, 64, 2, 4];0.0020118278334848583;0.24819315870433445;jir
[4, 64, 4, 1];0.0019400799355935305;0.2573718204085992;jir
[4, 64, 4, 4];0.0020079514652024955;0.24867229781948427;jir
[4, 64, 8, 1];0.0019100696372333914;0.2614155500032655;jir
